YEAR,APT_IATA,APT_AIRPORT,APT_COUNTRY,APT_LATITUDE,APT_LONGITUDE,FLT_TOT_1_ORIG,FLT_TOT_1_NORMALIZED
2017,ABC,Albacete Airport,Spain,38.94850159,-1.863520026,836,0.0016447012486745006
2017,ABZ,Aberdeen Airport,United Kingdom,57.20190048,-2.197779894,62587,0.12313028355357772
2017,ACE,Lanzarote Airport,Spain,28.945499,-13.6052,58004,0.11411393687573652
2017,ADB,Adnan Menderes Airport,Türkiye,38.29240036,27.15699959,82815,0.16292575826432867
2017,AGF,Agen La Garenne Airport,France,44.17470169,0.590556026,4765,0.009374403648246406
2017,AGP,Malaga Airport,Spain,36.67490005,-4.499110222,134817,0.2652316845006581
2017,AJA,Ajaccio Napoleon Bonaparte Airport,France,41.92359924,8.802920341,17495,0.034418718116699026
2017,ALC,Alicante-Elche Airport,Spain,38.28219986,-0.558156013,95133,0.18715952618439147
2017,AMS,Amsterdam Airport Schiphol,Netherlands,52.308601,4.76389,508299,1.0
2017,ANE,Angers - Loire Airport,France,47.560299,-0.312222,1876,0.003690741079561439
2017,ANR,Antwerp International Airport,Belgium,51.18939972,4.460279942,13964,0.027472019421639626
2017,ARN,Stockholm Arlanda Airport,Sweden,59.65190125,17.91860008,248865,0.4896035601093057
2017,ATH,Athens International Airport (Eleftherios Venizelos Airport),Greece,37.93640137,23.94449997,189681,0.37316815496390904
2017,AVN,Avignon - Provence Airport,France,43.90729904,4.901830196,6577,0.01293923458436865
2017,AYT,Antalya Airport,Türkiye,36.898701,30.800501,153917,0.3028079929332932
2017,BBU,Aurel Vlaicu International Airport (Baneasa Airport),Romania,44.50320053,26.10210037,3909,0.007690355479747156
2017,BCN,Barcelona El Prat Airport,Spain,41.2971,2.07846,323471,0.6363793751315663
2017,BDS,Brindisi - Salento Airport,Italy,40.6576,17.947001,17455,0.03434002427704953
2017,BEG,Belgrade Nikola Tesla Airport,Serbia,44.81840134,20.3090992,64080,0.12606753111849522
2017,BER,Berlin Brandenburg Airport,Germany,52.35138889,13.49388889,100122,0.19697461533467506
2017,BES,Brest Bretagne Airport,France,48.44789886,-4.418540001,15718,0.030922744290270098
2017,BFS,Belfast International Airport,United Kingdom,54.65750122,-6.215829849,48244,0.0949126400012591
2017,BGO,Bergen Airport,Norway,60.29339981,5.218140125,83653,0.16457439420498565
2017,BGY,Il Caravaggio International Airport (Orio al Serio Airport),Italy,45.673901,9.70417,85849,0.16889468600174307
2017,BHD,George Best Belfast City Airport,United Kingdom,54.61809921,-5.872499943,37579,0.0739308950047118
2017,BHX,Birmingham Airport,United Kingdom,52.45389938,-1.748029947,119143,0.23439550343400242
2017,BIA,Bastia - Poretta Airport,France,42.55270004,9.483730316,16152,0.031776572450467146
2017,BIO,Bilbao Airport,Spain,43.30110168,-2.910609961,43988,0.08653961546255255
