iso_code,location,year,month,total_cases
ABW,Aruba,2020,1,0.0
ABW,Aruba,2020,2,0.0
ABW,Aruba,2020,3,4.868664560170783e-07
ABW,Aruba,2020,4,9.737329120341567e-07
ABW,Aruba,2020,5,9.834702411544983e-07
ABW,Aruba,2020,6,9.834702411544983e-07
ABW,Aruba,2020,7,1.1587421653206464e-06
ABW,Aruba,2020,8,1.7994584214391217e-05
ABW,Aruba,2020,9,3.7702938353962545e-05
ABW,Aruba,2020,10,4.3545335826167484e-05
ABW,Aruba,2020,11,4.665154381555645e-05
ABW,Aruba,2020,12,5.231866936359524e-05
ABW,Aruba,2021,1,6.677860310730247e-05
ABW,Aruba,2021,2,7.599011645514558e-05
ABW,Aruba,2021,3,9.049873684445452e-05
ABW,Aruba,2021,4,0.00010306962873881549
ABW,Aruba,2021,5,0.00010669191517158254
ABW,Aruba,2021,6,0.00010839594776764232
ABW,Aruba,2021,7,0.00011279722053003671
ABW,Aruba,2021,8,0.00014085046572574078
ABW,Aruba,2021,9,0.00015042226025103653
ABW,Aruba,2021,10,0.00015464826108926475
ABW,Aruba,2021,11,0.00015895216056045574
ABW,Aruba,2021,12,0.00018521373719801695
ABW,Aruba,2022,1,0.00031858593415933536
ABW,Aruba,2022,2,0.0003277098115450954
ABW,Aruba,2022,3,0.00033073812090152167
ABW,Aruba,2022,4,0.00033781715917200996
ABW,Aruba,2022,5,0.00035603570195616907
ABW,Aruba,2022,6,0.0003964845671220679
ABW,Aruba,2022,7,0.00040974680938397315
ABW,Aruba,2022,8,0.00041722507814839543
ABW,Aruba,2022,9,0.0004201170648971369
ABW,Aruba,2022,10,0.0004219574201008815
ABW,Aruba,2022,11,0.00042494678014082634
ABW,Aruba,2022,12,0.00042707925521818114
ABW,Aruba,2023,1,0.00042837431999118657
ABW,Aruba,2023,2,0.00042887092377632397
ABW,Aruba,2023,3,0.00042924094228289695
ABW,Aruba,2023,4,0.0
AFG,Afghanistan,2020,1,0.0
AFG,Afghanistan,2020,2,4.8686645601707834e-08
AFG,Afghanistan,2020,3,1.6163966339767e-06
AFG,Afghanistan,2020,4,1.779010030286404e-05
AFG,Afghanistan,2020,5,0.00014781265604678497
AFG,Afghanistan,2020,6,0.00030619031418914055
AFG,Afghanistan,2020,7,0.00035665889101987094
AFG,Afghanistan,2020,8,0.00037243336419482423
AFG,Afghanistan,2020,9,0.000383202850201922
AFG,Afghanistan,2020,10,0.0004024827618601983
AFG,Afghanistan,2020,11,0.0004500106652965855
AFG,Afghanistan,2020,12,0.0005095544328674742
AFG,Afghanistan,2021,1,0.000535777060188554
AFG,Afghanistan,2021,2,0.0005425055546107101
AFG,Afghanistan,2021,3,0.0005497111781597628
AFG,Afghanistan,2021,4,0.000581756728294807
AFG,Afghanistan,2021,5,0.0006995102493470975
AFG,Afghanistan,2021,6,0.00115542173609061
AFG,Afghanistan,2021,7,0.001432886929374743
AFG,Afghanistan,2021,8,0.0014919535678187348
AFG,Afghanistan,2021,9,0.0015097923547672007
AFG,Afghanistan,2021,10,0.0015198802277358746
AFG,Afghanistan,2021,11,0.0015312923774649149
AFG,Afghanistan,2021,12,0.0015390725034320678
AFG,Afghanistan,2022,1,0.0015788105435721816
AFG,Afghanistan,2022,2,0.001688404182821626
AFG,Afghanistan,2022,3,0.0017302649607099743
AFG,Afghanistan,2022,4,0.001741745271742857
AFG,Afghanistan,2022,5,0.0017552801592201318
AFG,Afghanistan,2022,6,0.001776380951423912
AFG,Afghanistan,2022,7,0.001807053538152988
AFG,Afghanistan,2022,8,0.0018817388525060078
AFG,Afghanistan,2022,9,0.0019383808959990347
AFG,Afghanistan,2022,10,0.001976609650125496
AFG,Afghanistan,2022,11,0.0020042344528399046
AFG,Afghanistan,2022,12,0.0020210216082433737
AFG,Afghanistan,2023,1,0.0020300286376796896
AFG,Afghanistan,2023,2,0.0020382372061281376
AFG,Afghanistan,2023,3,0.0020466015718425107
AGO,Angola,2020,1,0.0
AGO,Angola,2020,2,0.0
AGO,Angola,2020,3,3.8949316481366265e-08
AGO,Angola,2020,4,2.629078862492223e-07
AGO,Angola,2020,5,8.179356461086917e-07
AGO,Angola,2020,6,2.6875028372142724e-06
AGO,Angola,2020,7,1.0798697994458797e-05
AGO,Angola,2020,8,2.555075161177627e-05
AGO,Angola,2020,9,4.7761599335275384e-05
AGO,Angola,2020,10,0.00010280672085256627
AGO,Angola,2020,11,0.0001470628817045187
AGO,Angola,2020,12,0.00016975085855491453
AGO,Angola,2021,1,0.00019262384465859687
AGO,Angola,2021,2,0.00020236117377893845
AGO,Angola,2021,3,0.00021599343454741662
